Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),2.05,0.13
kexAB (s^-1),4980,520
R1 (s^-1),1.92,0.06
R2 (s^-1),29.58,0.36
Red. Chi-sq,0.43
