Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.92,0.11
kexAB (s^-1),677,24
R1 (s^-1),0.71,0.18
R2 (s^-1),30.66,0.21
Red. Chi-sq,0.42
