Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.78,0.10
kexAB (s^-1),677,24
R1 (s^-1),0.31,0.13
R2 (s^-1),22.03,0.18
Red. Chi-sq,0.42
