Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),0.45,0.06
kexAB (s^-1),3849,799
R1 (s^-1),2.27,0.04
R2 (s^-1),13.99,0.12
Red. Chi-sq,0.41
