Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),0.42,0.06
kexAB (s^-1),3849,799
R1 (s^-1),2.56,0.04
R2 (s^-1),20.20,0.13
Red. Chi-sq,0.41
