Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.33,0.06
kexAB (s^-1),3525,154
R1 (s^-1),2.30,0.07
R2 (s^-1),30.20,0.16
Red. Chi-sq,0.17
