Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.04,0.08
kexAB (s^-1),2457,140
R1 (s^-1),1.25,0.12
R2 (s^-1),28.94,0.23
Red. Chi-sq,0.19
