Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.23,0.14
kexAB (s^-1),965,33
R1 (s^-1),2.06,0.07
R2 (s^-1),13.97,0.10
Red. Chi-sq,0.33
