Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.72,0.11
kexAB (s^-1),965,33
R1 (s^-1),2.48,0.06
R2 (s^-1),19.75,0.08
Red. Chi-sq,0.33
