Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),2.34,0.16
kexAB (s^-1),3031,491
R1 (s^-1),2.15,0.05
R2 (s^-1),22.16,0.15
Red. Chi-sq,0.21
