Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),3.72,0.02
kexAB (s^-1),327,4
R1 (s^-1),2.74,0.03
R2 (s^-1),20.15,0.07
Red. Chi-sq,0.32
