Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),3.92,0.03
kexAB (s^-1),327,4
R1 (s^-1),2.20,0.04
R2 (s^-1),13.77,0.07
Red. Chi-sq,0.32
