Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),1.91,0.08
kexAB (s^-1),495,34
R1 (s^-1),4.54,0.03
R2 (s^-1),20.97,0.04
Red. Chi-sq,0.39
