Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.180,0.008
dwB (ppm),3.79,0.14
kexAB (s^-1),2547,213
R1 (s^-1),1.64,0.03
R2 (s^-1),42.08,0.13
Red. Chi-sq,0.43
