Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.629,0.078
dwB (ppm),2.39,0.04
kexAB (s^-1),2286,64
R1 (s^-1),2.54,0.12
R2 (s^-1),25.62,0.28
Red. Chi-sq,0.08
