Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.62,3.07
kexAB (s^-1),4826,8553
R1 (s^-1),1.62,0.73
R2 (s^-1),34.45,2.89
Red. Chi-sq,4.03
