Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.27,0.00
kexAB (s^-1),3,1
R1 (s^-1),1.77,0.07
R2 (s^-1),43.53,0.12
Red. Chi-sq,2.10
