Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.96,0.58
kexAB (s^-1),2179,807
R1 (s^-1),3.12,0.14
R2 (s^-1),30.16,0.44
Red. Chi-sq,1.11
