Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),3.69,0.02
kexAB (s^-1),105,2
R1 (s^-1),2.75,0.04
R2 (s^-1),20.32,0.08
Red. Chi-sq,0.42
