Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),2.300,2.300
dwB (ppm),3.48,0.03
kexAB (s^-1),2889,108
R1 (s^-1),0.22,0.24
R2 (s^-1),32.10,0.61
Red. Chi-sq,0.24
