Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),3.18,0.02
kexAB (s^-1),1969,31
R1 (s^-1),0.76,0.14
R2 (s^-1),20.00,0.23
Red. Chi-sq,0.14
