Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.137,0.036
dwB (ppm),3.88,0.35
kexAB (s^-1),549,166
R1 (s^-1),1.35,0.06
R2 (s^-1),30.42,0.08
Red. Chi-sq,0.79
