Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.20,2.06
kexAB (s^-1),3153,3954
R1 (s^-1),5.35,0.37
R2 (s^-1),14.93,1.27
Red. Chi-sq,51.97
