Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),5.38,0.61
kexAB (s^-1),4026,1681
R1 (s^-1),0.98,0.49
R2 (s^-1),30.74,1.59
Red. Chi-sq,1.80
