Fit #1
ac8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.46,0.04
kexAB (s^-1),3516,183
R1 (s^-1),3.90,0.41
R2 (s^-1),22.19,1.04
Red. Chi-sq,1.20
