Fit #1
ac1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.71,0.04
kexAB (s^-1),3516,183
R1 (s^-1),3.80,0.36
R2 (s^-1),14.01,0.93
Red. Chi-sq,1.20
