Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),4.43,0.18
kexAB (s^-1),328,22
R1 (s^-1),0.10,0.35
R2 (s^-1),31.19,0.50
Red. Chi-sq,1.17
