param,fitval,fiterror
pB,0.00642,0.00289
pC,-0.00000,0.00000
dwB,2.77706,0.01666
dwC,0.00000,0.00000
kexAB,195.44451,20.07068
kexAC,0.00000,0.00000
kexBC,-0.00000,0.00000
R1,3.30375,0.00502
R2,18.35332,0.18699
rchi2,34.699,0.0
