Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.88,0.04
kexAB (s^-1),4989,339
R1 (s^-1),2.53,0.11
R2 (s^-1),29.47,0.34
Red. Chi-sq,0.41
