Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),1.59,0.12
kexAB (s^-1),3504,524
R1 (s^-1),2.20,0.05
R2 (s^-1),22.03,0.17
Red. Chi-sq,0.21
