Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.85,0.07
kexAB (s^-1),138,8
R1 (s^-1),4.54,0.03
R2 (s^-1),21.02,0.03
Red. Chi-sq,0.37
