Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),4.37,0.17
kexAB (s^-1),548,35
R1 (s^-1),0.10,0.35
R2 (s^-1),31.03,0.51
Red. Chi-sq,1.17
