Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.64,0.11
kexAB (s^-1),4353,472
R1 (s^-1),4.04,0.11
R2 (s^-1),17.20,0.66
Red. Chi-sq,5.12
