Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.72,0.11
kexAB (s^-1),4353,472
R1 (s^-1),3.48,0.13
R2 (s^-1),10.58,0.67
Red. Chi-sq,5.12
