Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),2.23,0.06
kexAB (s^-1),3731,160
R1 (s^-1),1.74,0.10
R2 (s^-1),26.92,0.26
Red. Chi-sq,0.24
