Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),6.31,7.61
kexAB (s^-1),3746,17502
R1 (s^-1),4.04,1.49
R2 (s^-1),36.34,4.47
Red. Chi-sq,9.02
