Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),-1.00,12.40
kexAB (s^-1),3746,17502
R1 (s^-1),5.56,0.96
R2 (s^-1),32.47,1.91
Red. Chi-sq,9.02
