Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),8.00,5.49
kexAB (s^-1),5283,11718
R1 (s^-1),2.18,0.10
R2 (s^-1),23.01,0.39
Red. Chi-sq,0.47
