Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.400,2.400
dwB (ppm),2.51,0.02
kexAB (s^-1),2377,37
R1 (s^-1),2.47,0.12
R2 (s^-1),25.53,0.22
Red. Chi-sq,0.09
