Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.80,0.05
kexAB (s^-1),2652,131
R1 (s^-1),1.22,0.09
R2 (s^-1),20.48,0.19
Red. Chi-sq,0.18
