Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.96,0.02
kexAB (s^-1),22,2
R1 (s^-1),1.39,0.06
R2 (s^-1),30.36,0.07
Red. Chi-sq,0.86
