Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.37,0.01
kexAB (s^-1),22,2
R1 (s^-1),1.31,0.04
R2 (s^-1),21.22,0.05
Red. Chi-sq,0.86
