Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.33,0.02
kexAB (s^-1),1033,234
R1 (s^-1),1.53,0.06
R2 (s^-1),7.88,0.13
Red. Chi-sq,0.85
