Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),5.07,0.33
kexAB (s^-1),2969,569
R1 (s^-1),2.49,0.65
R2 (s^-1),22.44,1.33
Red. Chi-sq,2.62
