Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.66,0.07
kexAB (s^-1),4661,711
R1 (s^-1),2.17,0.09
R2 (s^-1),13.76,0.55
Red. Chi-sq,0.52
