param,fitval,fiterror
pB,0.01000,0.00000
pC,0.00000,0.00000
dwB,3.82472,0.08898
dwC,0.00000,0.00000
kexAB,42.55817,18.09539
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,2.24070,0.02947
R2,13.13518,0.27268
rchi2,16.58060,0.0
