Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.35,0.06
kexAB (s^-1),3508,1336
R1 (s^-1),2.00,0.09
R2 (s^-1),14.30,0.33
Red. Chi-sq,0.48
