Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.505,0.045
dwB (ppm),2.39,0.03
kexAB (s^-1),2402,39
R1 (s^-1),2.48,0.12
R2 (s^-1),25.84,0.23
Red. Chi-sq,0.09
