Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.505,0.045
dwB (ppm),2.97,0.03
kexAB (s^-1),2402,39
R1 (s^-1),1.34,0.12
R2 (s^-1),17.97,0.21
Red. Chi-sq,0.09
