Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.97,0.06
kexAB (s^-1),165,5
R1 (s^-1),1.22,0.08
R2 (s^-1),27.68,0.12
Red. Chi-sq,0.38
