Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.750,1.750
dwB (ppm),3.82,0.10
kexAB (s^-1),2524,179
R1 (s^-1),1.40,0.48
R2 (s^-1),20.74,0.92
Red. Chi-sq,1.63
