Fit #1
ac1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),3.60,0.09
kexAB (s^-1),192,8
R1 (s^-1),0.01,0.48
R2 (s^-1),25.54,0.54
Red. Chi-sq,1.64
