Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.67,0.10
kexAB (s^-1),121,6
R1 (s^-1),1.51,0.04
R2 (s^-1),43.34,0.07
Red. Chi-sq,0.70
