Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.86,0.24
kexAB (s^-1),2877,408
R1 (s^-1),1.30,0.21
R2 (s^-1),29.62,0.43
Red. Chi-sq,0.51
