Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.700,2.700
dwB (ppm),3.12,0.02
kexAB (s^-1),1913,29
R1 (s^-1),0.72,0.14
R2 (s^-1),20.07,0.23
Red. Chi-sq,0.14
