Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.700,2.700
dwB (ppm),2.55,0.02
kexAB (s^-1),1913,29
R1 (s^-1),1.01,0.17
R2 (s^-1),30.52,0.25
Red. Chi-sq,0.14
