Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,164721
R1 (s^-1),0.98,0.10
R2 (s^-1),27.55,7.77
Red. Chi-sq,0.18
