Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.66,0.09
kexAB (s^-1),5071,959
R1 (s^-1),1.93,0.06
R2 (s^-1),41.66,0.41
Red. Chi-sq,1.73
