Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.08,0.07
kexAB (s^-1),4173,427
R1 (s^-1),2.33,0.09
R2 (s^-1),15.60,0.27
Red. Chi-sq,0.34
