Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.02,0.06
kexAB (s^-1),4173,427
R1 (s^-1),2.62,0.07
R2 (s^-1),22.81,0.23
Red. Chi-sq,0.34
