Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.63,0.07
kexAB (s^-1),4014,291
R1 (s^-1),3.37,0.21
R2 (s^-1),11.77,0.70
Red. Chi-sq,1.68
