Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.40,0.06
kexAB (s^-1),4014,291
R1 (s^-1),2.99,0.17
R2 (s^-1),18.47,0.54
Red. Chi-sq,1.68
