Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),1.74,0.12
kexAB (s^-1),3988,456
R1 (s^-1),1.88,0.05
R2 (s^-1),41.32,0.27
Red. Chi-sq,1.19
