Fit #1
ac1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),3.09,0.01
kexAB (s^-1),36,2
R1 (s^-1),1.02,0.15
R2 (s^-1),21.09,0.16
Red. Chi-sq,0.60
